game_id,home_team,away_team,home_shots_on_goal,away_shots_on_goal,corsi_home,corsi_away,fenwick_home,fenwick_away,corsi_home_%,corsi_away_%,fenwick_home_%,fenwick_away_%
2023020001,TBL,NSH,22,18,42,37,34,23,0.5316455696202531,0.46835443037974683,0.5964912280701754,0.40350877192982454
2023020002,PIT,CHI,34,29,55,54,45,42,0.5045871559633027,0.4954128440366973,0.5172413793103449,0.4827586206896552
2023020003,VGK,SEA,24,23,43,51,31,33,0.4574468085106383,0.5425531914893617,0.484375,0.515625
2023020004,CAR,OTT,34,18,61,35,49,29,0.6354166666666666,0.3645833333333333,0.6282051282051282,0.3717948717948718
2023020005,TOR,MTL,26,19,48,40,36,29,0.5454545454545454,0.45454545454545453,0.5538461538461539,0.4461538461538462
2023020006,BOS,CHI,27,18,64,40,41,30,0.6153846153846154,0.38461538461538464,0.5774647887323944,0.4225352112676056
2023020007,CGY,WPG,13,23,30,58,18,36,0.3409090909090909,0.6590909090909091,0.3333333333333333,0.6666666666666666
2023020008,LAK,COL,25,28,51,46,36,35,0.5257731958762887,0.4742268041237113,0.5070422535211268,0.49295774647887325
2023020009,VAN,EDM,19,19,33,40,26,30,0.4520547945205479,0.547945205479452,0.4642857142857143,0.5357142857142857
2023020010,BUF,NYR,18,24,38,42,24,32,0.475,0.525,0.42857142857142855,0.5714285714285714
2023020011,CBJ,PHI,24,25,43,57,30,38,0.43,0.57,0.4411764705882353,0.5588235294117647
2023020012,NJD,DET,20,24,50,40,40,32,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444
2023020013,DAL,STL,27,17,57,39,41,24,0.59375,0.40625,0.6307692307692307,0.36923076923076925
2023020014,MIN,FLA,11,28,27,58,16,36,0.3176470588235294,0.6823529411764706,0.3076923076923077,0.6923076923076923
2023020015,NSH,SEA,24,19,52,42,36,30,0.5531914893617021,0.44680851063829785,0.5454545454545454,0.45454545454545453
2023020016,SJS,VGK,20,28,40,54,29,35,0.425531914893617,0.574468085106383,0.453125,0.546875
2023020017,NJD,ARI,22,23,44,37,29,27,0.5432098765432098,0.4567901234567901,0.5178571428571429,0.48214285714285715
2023020018,WSH,PIT,17,30,41,57,25,43,0.41836734693877553,0.5816326530612245,0.36764705882352944,0.6323529411764706
2023020019,OTT,PHI,21,14,36,35,27,22,0.5070422535211268,0.49295774647887325,0.5510204081632653,0.4489795918367347
2023020020,WPG,FLA,27,15,42,29,34,22,0.5915492957746479,0.4084507042253521,0.6071428571428571,0.39285714285714285
2023020021,BOS,NSH,17,16,41,34,22,29,0.5466666666666666,0.4533333333333333,0.43137254901960786,0.5686274509803921
2023020022,CBJ,NYR,19,36,39,71,29,53,0.35454545454545455,0.6454545454545455,0.35365853658536583,0.6463414634146342
2023020023,DET,TBL,39,21,59,55,49,35,0.5175438596491229,0.4824561403508772,0.5833333333333334,0.4166666666666667
2023020024,MTL,CHI,25,13,48,28,32,20,0.631578947368421,0.3684210526315789,0.6153846153846154,0.38461538461538464
2023020025,PIT,CGY,21,27,32,65,29,43,0.32989690721649484,0.6701030927835051,0.4027777777777778,0.5972222222222222
2023020026,TOR,MIN,27,30,42,59,35,43,0.4158415841584158,0.5841584158415841,0.44871794871794873,0.5512820512820513
2023020027,NYI,BUF,26,26,49,49,34,34,0.5,0.5,0.5,0.5
2023020028,STL,SEA,22,26,43,54,33,36,0.44329896907216493,0.5567010309278351,0.4782608695652174,0.5217391304347826
2023020029,EDM,VAN,23,13,58,22,37,15,0.725,0.275,0.7115384615384616,0.28846153846153844
2023020030,SJS,COL,15,36,36,79,27,56,0.3130434782608696,0.6869565217391305,0.3253012048192771,0.6746987951807228
2023020031,VGK,ANA,26,18,49,40,35,30,0.550561797752809,0.449438202247191,0.5384615384615384,0.46153846153846156
2023020032,LAK,CAR,21,12,43,28,29,19,0.6056338028169014,0.39436619718309857,0.6041666666666666,0.3958333333333333
2023020033,OTT,TBL,31,19,52,41,36,27,0.5591397849462365,0.44086021505376344,0.5714285714285714,0.42857142857142855
2023020034,ANA,CAR,20,22,38,64,30,41,0.37254901960784315,0.6274509803921569,0.4225352112676056,0.5774647887323944
2023020035,CBJ,DET,17,19,31,33,22,26,0.484375,0.515625,0.4583333333333333,0.5416666666666666
2023020036,NJD,FLA,21,24,48,39,31,30,0.5517241379310345,0.4482758620689655,0.5081967213114754,0.4918032786885246
2023020037,NYR,ARI,21,17,50,34,36,24,0.5952380952380952,0.40476190476190477,0.6,0.4
2023020038,TOR,CHI,26,25,65,51,43,31,0.5603448275862069,0.4396551724137931,0.581081081081081,0.4189189189189189
2023020039,WSH,CGY,18,30,40,56,26,38,0.4166666666666667,0.5833333333333334,0.40625,0.59375
2023020040,BUF,TBL,24,18,41,41,34,30,0.5,0.5,0.53125,0.46875
2023020041,MTL,MIN,16,15,29,37,25,21,0.4393939393939394,0.5606060606060606,0.5434782608695652,0.45652173913043476
2023020042,PHI,VAN,31,18,42,42,36,31,0.5,0.5,0.5373134328358209,0.4626865671641791
2023020043,NYI,ARI,27,13,53,36,42,26,0.5955056179775281,0.4044943820224719,0.6176470588235294,0.38235294117647056
2023020044,NSH,EDM,36,22,52,41,43,33,0.5591397849462365,0.44086021505376344,0.5657894736842105,0.4342105263157895
2023020045,WPG,LAK,18,25,42,42,26,35,0.5,0.5,0.4262295081967213,0.5737704918032787
2023020046,SEA,COL,26,23,50,48,36,33,0.5102040816326531,0.4897959183673469,0.5217391304347826,0.4782608695652174
