game_id,home_team,away_team,home_o_zone_faceoff_pct,home_d_zone_faceoff_pct,home_n_zone_faceoff_pct,away_o_zone_faceoff_pct,away_d_zone_faceoff_pct,away_n_zone_faceoff_pct
2023020001,TBL,NSH,0.5625,0.6666666666666666,0.4666666666666667,0.3333333333333333,0.4375,0.5333333333333333
2023020002,PIT,CHI,0.7333333333333333,0.7272727272727273,0.6875,0.2727272727272727,0.26666666666666666,0.3125
2023020003,VGK,SEA,0.7142857142857143,0.45454545454545453,0.5333333333333333,0.5454545454545454,0.2857142857142857,0.4666666666666667
2023020004,CAR,OTT,0.5,0.6923076923076923,0.5,0.3076923076923077,0.5,0.5
2023020005,TOR,MTL,0.4666666666666667,0.8333333333333334,0.4,0.16666666666666666,0.5333333333333333,0.6
2023020006,BOS,CHI,0.42857142857142855,0.7692307692307693,0.6923076923076923,0.23076923076923078,0.5714285714285714,0.3076923076923077
2023020007,CGY,WPG,0.6875,0.64,0.5789473684210527,0.36,0.3125,0.42105263157894735
2023020008,LAK,COL,0.38095238095238093,0.5,0.5,0.5,0.6190476190476191,0.5
2023020009,VAN,EDM,0.5,0.3333333333333333,0.47619047619047616,0.6666666666666666,0.5,0.5238095238095238
2023020010,BUF,NYR,0.5714285714285714,0.21428571428571427,0.4,0.7857142857142857,0.42857142857142855,0.6
2023020011,CBJ,PHI,0.4166666666666667,0.5,0.6,0.5,0.5833333333333334,0.4
2023020012,NJD,DET,0.38461538461538464,0.5,0.3125,0.5,0.6153846153846154,0.6875
2023020013,DAL,STL,0.42857142857142855,0.625,0.6666666666666666,0.375,0.5714285714285714,0.3333333333333333
2023020014,MIN,FLA,0.45454545454545453,0.4,0.4,0.6,0.5454545454545454,0.6
2023020015,NSH,SEA,0.2,0.6923076923076923,0.9230769230769231,0.3076923076923077,0.8,0.07692307692307693
2023020016,SJS,VGK,0.42857142857142855,0.5333333333333333,0.6956521739130435,0.4666666666666667,0.5714285714285714,0.30434782608695654
2023020017,NJD,ARI,0.625,0.7272727272727273,0.23076923076923078,0.2727272727272727,0.375,0.7692307692307693
2023020018,WSH,PIT,0.4090909090909091,0.4090909090909091,0.6666666666666666,0.5909090909090909,0.5909090909090909,0.3333333333333333
2023020019,OTT,PHI,0.7,0.6428571428571429,0.5625,0.35714285714285715,0.3,0.4375
2023020020,WPG,FLA,0.7142857142857143,0.5555555555555556,0.45454545454545453,0.4444444444444444,0.2857142857142857,0.5454545454545454
2023020021,BOS,NSH,0.2857142857142857,0.2222222222222222,0.5,0.7777777777777778,0.7142857142857143,0.5
2023020022,CBJ,NYR,0.375,0.5,0.47368421052631576,0.5,0.625,0.5263157894736842
2023020023,DET,TBL,0.4666666666666667,0.5454545454545454,0.47058823529411764,0.45454545454545453,0.5333333333333333,0.5294117647058824
2023020024,MTL,CHI,0.6,1.0,0.7142857142857143,0.0,0.4,0.2857142857142857
2023020025,PIT,CGY,0.3333333333333333,0.5,0.5263157894736842,0.5,0.6666666666666666,0.47368421052631576
2023020026,TOR,MIN,0.5555555555555556,0.4,0.5357142857142857,0.6,0.4444444444444444,0.4642857142857143
2023020027,NYI,BUF,0.4,0.85,0.6875,0.15,0.6,0.3125
2023020028,STL,SEA,0.4,0.5882352941176471,0.2857142857142857,0.4117647058823529,0.6,0.7142857142857143
2023020029,EDM,VAN,0.5555555555555556,0.6153846153846154,0.5,0.38461538461538464,0.4444444444444444,0.5
2023020030,SJS,COL,0.7142857142857143,0.391304347826087,0.8333333333333334,0.6086956521739131,0.2857142857142857,0.16666666666666666
2023020031,VGK,ANA,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,0.5
2023020032,LAK,CAR,0.6,0.6363636363636364,0.2631578947368421,0.36363636363636365,0.4,0.7368421052631579
2023020033,OTT,TBL,0.5238095238095238,0.45454545454545453,0.2,0.5454545454545454,0.47619047619047616,0.8
2023020034,ANA,CAR,0.5555555555555556,0.47058823529411764,0.4666666666666667,0.5294117647058824,0.4444444444444444,0.5333333333333333
2023020035,CBJ,DET,0.2777777777777778,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.7222222222222222,0.6666666666666666
2023020036,NJD,FLA,0.45454545454545453,0.5,0.5238095238095238,0.5,0.5454545454545454,0.47619047619047616
2023020037,NYR,ARI,0.375,0.5555555555555556,0.4166666666666667,0.4444444444444444,0.625,0.5833333333333334
2023020038,TOR,CHI,0.7142857142857143,0.5,0.6428571428571429,0.5,0.2857142857142857,0.35714285714285715
2023020039,WSH,CGY,0.07142857142857142,0.4,0.5,0.6,0.9285714285714286,0.5
2023020040,BUF,TBL,0.3076923076923077,0.5789473684210527,0.4444444444444444,0.42105263157894735,0.6923076923076923,0.5555555555555556
2023020041,MTL,MIN,0.4,0.625,0.4166666666666667,0.375,0.6,0.5833333333333334
2023020042,PHI,VAN,0.3333333333333333,0.625,0.7,0.375,0.6666666666666666,0.3
2023020043,NYI,ARI,0.5789473684210527,0.7777777777777778,0.6666666666666666,0.2222222222222222,0.42105263157894735,0.3333333333333333
2023020044,NSH,EDM,0.4782608695652174,0.5454545454545454,0.5263157894736842,0.45454545454545453,0.5217391304347826,0.47368421052631576
2023020045,WPG,LAK,0.36363636363636365,0.5,0.5333333333333333,0.5,0.6363636363636364,0.4666666666666667
2023020046,SEA,COL,0.5,0.5384615384615384,0.6666666666666666,0.46153846153846156,0.5,0.3333333333333333
2023020047,SJS,CAR,0.5,0.5,0.5,0.5,0.5,0.5
