game_id,home_team,away_team,goalie_name,opening_line,goalieTeam
11922,SEA,CAR,Antti Raanta,24.5,CAR
11923,ANA,DAL,Jake Oettinger,23.5,DAL
11923,ANA,DAL,John Gibson,31.5,ANA
11924,SJ,BOS,Linus Ullmark,25.5,BOS
11924,SJ,BOS,Kaapo Kahkonen,29.5,SJ
11925,COL,CHI,Petr Mrazek,31.5,CHI
11925,COL,CHI,Alexandar Georgiev,25.5,COL
11927,NYI,NJ,Ilya Sorokin,27.5,NYI
11927,NYI,NJ,Akira Schmid,27.5,NJ
11928,OTT,DET,Joonas Korpisalo,26.5,OTT
11928,OTT,DET,Ville Husso,28.5,DET
11929,ARI,ANA,Karel Vejmelka,26.5,ARI
11930,BUF,NYI,Eric Comrie,27.5,BUF
11930,BUF,NYI,Semyon Varlamov,28.5,NYI
11931,FLA,VAN,Casey DeSmith,28.5,VAN
11931,FLA,VAN,Sergei Bobrovsky,25.5,FLA
11932,MTL,WSH,Darcy Kuemper,27.5,WSH
11932,MTL,WSH,Jake Allen,26.5,MTL
11933,TB,TOR,Ilya Samsonov,26.5,TOR
11933,TB,TOR,Jonas Johansson,29.5,TB
11934,NSH,SJ,Mackenzie Blackwood,28.5,SJ
11934,NSH,SJ,Juuse Saros,24.5,NSH
11935,CHI,VGK,Arvid Soderblom,27.5,CHI
11935,CHI,VGK,Adin Hill,26.5,VGK
11936,MIN,CBJ,Filip Gustavsson,26.5,MIN
11936,MIN,CBJ,Elvis Merzlikins,29.5,CBJ
11937,DAL,PHI,Samuel Ersson,28.5,PHI
11937,DAL,PHI,Scott Wedgewood,25.5,DAL
11938,STL,PIT,Tristan Jarry,25.5,PIT
11938,STL,PIT,Jordan Binnington,29.5,STL
11939,COL,CAR,Alexandar Georgiev,28.5,COL
11940,EDM,WPG,Connor Hellebuyck,27.5,WPG
11940,EDM,WPG,Stuart Skinner,26.5,EDM
11941,SEA,NYR,Jonathan Quick,26.5,NYR
11941,SEA,NYR,Philipp Grubauer,25.5,SEA
11942,LA,BOS,Cam Talbot,26.5,LA
11942,LA,BOS,Jeremy Swayman,28.5,BOS
11943,DET,CGY,James Reimer,29.5,DET
11944,ANA,BOS,John Gibson,31.5,ANA
11944,ANA,BOS,Linus Ullmark,25.5,BOS
11945,BUF,MTL,Jake Allen,29.5,MTL
11945,BUF,MTL,Eric Comrie,26.5,BUF
11946,WSH,TOR,Joseph Woll,26.5,TOR
11946,WSH,TOR,Darcy Kuemper,29.5,WSH
11947,CBJ,ANA,Elvis Merzlikins,26.5,CBJ
11947,CBJ,ANA,Lukas Dostal,30.5,ANA
11948,OTT,BUF,Anton Forsberg,27.5,OTT
11948,OTT,BUF,Ukko-Pekka Luukkonen,29.5,BUF
11949,TB,CAR,Jonas Johansson,30.5,TB
11950,MTL,NJ,Cayden Primeau,28.5,MTL
11951,PIT,DAL,Jake Oettinger,28.5,DAL
11951,PIT,DAL,Alex Nedeljkovic,28.5,PIT
