game_id,home_team,away_team,home_goaltender,away_goaltender
21205,VAN,OTT,Thatcher Demko,Anton Forsberg
21206,LA,TOR,Cam Talbot,Martin Jones
21207,SJ,DET,Kaapo Kahkonen,Alex Lyon
21208,WSH,NJ,Hunter Shepard,Nico Daws
21209,ANA,TOR,Lukas Dostal,Martin Jones
21210,BOS,PIT,Jeremy Swayman,Alex Nedeljkovic
21211,MTL,BUF,Jake Allen,Devon Levi
21212,NYR,CHI,Igor Shesterkin,Petr Mrazek
21213,PHI,CBJ,Samuel Ersson,Daniil Tarasov
21214,DAL,COL,Scott Wedgewood,Alexandar Georgiev
21215,STL,VAN,Jordan Binnington,Thatcher Demko
21216,NSH,CGY,Juuse Saros,Dan Vladar
21217,MIN,TB,Marc-Andre Fleury,Andrei Vasilevskiy
21218,ARI,NYI,Connor Ingram,Ilya Sorokin
21219,VGK,FLA,Logan Thompson,Sergei Bobrovsky
21220,SEA,OTT,Joey Daccord,Joonas Korpisalo
21221,LA,DET,David Rittich,Alex Lyon
21222,SJ,WPG,Mackenzie Blackwood,Connor Hellebuyck
21223,NJ,CHI,Vitek Vanecek,Arvid Söderblom
21224,WSH,CAR,Darcy Kuemper,Pyotr Kochetkov
21225,ANA,WPG,John Gibson,Laurent Brossoit
21226,PHI,CGY,Carter Hart,Jacob Markstrom
21227,COL,FLA,Ivan Prosvetov,Sergei Bobrovsky
21228,BOS,TB,Linus Ullmark,Andrei Vasilevskiy
21229,CAR,STL,Antti Raanta,Jordan Binnington
21230,MTL,NYR,Sam Montembeault,Jonathan Quick
21231,NJ,VAN,Nico Daws,Thatcher Demko
21232,PIT,BUF,Tristan Jarry,Ukko-Pekka Luukkonen
21233,SJ,TOR,Mackenzie Blackwood,Martin Jones
21234,CBJ,MIN,Daniil Tarasov,Marc-Andre Fleury
21235,DAL,NSH,Scott Wedgewood,Kevin Lankinen
21236,EDM,OTT,Stuart Skinner,Anton Forsberg
21237,VGK,NYI,Logan Thompson,Ilya Sorokin
21238,CHI,CGY,Petr Mrazek,Dan Vladar
21239,WSH,LA,Darcy Kuemper,Cam Talbot
21240,ARI,WPG,Karel Vejmelka,Connor Hellebuyck
21241,ANA,DET,Lukas Dostal,Alex Lyon
21242,NYR,VAN,Igor Shesterkin,Thatcher Demko
21243,PHI,PIT,Carter Hart,Alex Nedeljkovic
21244,MIN,DAL,Marc-Andre Fleury,Matt Murray
21245,COL,BOS,Alexandar Georgiev,Jeremy Swayman
21246,BUF,SEA,Devon Levi,Joey Daccord
21247,TB,LA,Andrei Vasilevskiy,Cam Talbot
21248,TOR,SJ,Martin Jones,Kaapo Kahkonen
21249,NYI,VAN,Ilya Sorokin,Casey DeSmith
21250,STL,FLA,Joel Hofer,Anthony Stolarz
21251,NSH,ANA,Juuse Saros,Lukas Dostal
21252,WPG,CBJ,Connor Hellebuyck,Daniil Tarasov
21253,CHI,EDM,Petr Mrazek,Stuart Skinner
21254,CGY,OTT,Jacob Markstrom,Joonas Korpisalo
21255,ARI,BOS,Connor Ingram,Linus Ullmark
21256,PHI,MTL,Samuel Ersson,Cayden Primeau
21257,DAL,MIN,Scott Wedgewood,Jesper Wallstedt
21258,COL,VGK,Alexandar Georgiev,Jiri Patera
21259,BUF,OTT,Ukko-Pekka Luukkonen,Anton Forsberg
21260,DET,EDM,Alex Lyon,Calvin Pickard
21261,CAR,ANA,Pyotr Kochetkov,John Gibson
21262,MTL,SJ,Sam Montembeault,Mackenzie Blackwood
21263,PIT,VAN,Alex Nedeljkovic,Thatcher Demko
21264,TB,NJ,Andrei Vasilevskiy,Vitek Vanecek
21265,WSH,SEA,Darcy Kuemper,Joey Daccord
21266,FLA,LA,Sergei Bobrovsky,Cam Talbot
21267,NYI,TOR,Ilya Sorokin,Martin Jones
21268,STL,NYR,Jordan Binnington,Igor Shesterkin
21269,WPG,CHI,Laurent Brossoit,Petr Mrazek
21270,ARI,CGY,Karel Vejmelka,Jacob Markstrom
21271,VGK,BOS,Logan Thompson,Jeremy Swayman
21272,DAL,NSH,Jake Oettinger,Kevin Lankinen
21273,MIN,PHI,Marc-Andre Fleury,Carter Hart
21274,WSH,NYR,Charlie Lindgren,Jonathan Quick
21275,BUF,VAN,Ukko-Pekka Luukkonen,Thatcher Demko
21276,OTT,SJ,Joonas Korpisalo,Mackenzie Blackwood
21277,FLA,NJ,Sergei Bobrovsky,Nico Daws
21278,DET,LA,Alex Lyon,Cam Talbot
21279,CAR,PIT,Antti Raanta,Tristan Jarry
21280,MTL,EDM,Sam Montembeault,Stuart Skinner
21281,TB,ANA,Andrei Vasilevskiy,Lukas Dostal
21282,TOR,COL,Martin Jones,Alexandar Georgiev
21283,WPG,PHI,Connor Hellebuyck,Samuel Ersson
21284,CBJ,SEA,Daniil Tarasov,Joey Daccord
21285,CHI,DAL,Petr Mrazek,Scott Wedgewood
21286,STL,BOS,Jordan Binnington,Jeremy Swayman
21287,NSH,NYI,Juuse Saros,Ilya Sorokin
21288,MIN,ARI,Filip Gustavsson,Connor Ingram
21289,VGK,CGY,Logan Thompson,Jacob Markstrom
21290,NYR,WSH,Igor Shesterkin,Charlie Lindgren
21291,TOR,DET,Ilya Samsonov,James Reimer
21292,BOS,NJ,Jeremy Swayman,Nico Daws
21293,BUF,SJ,Ukko-Pekka Luukkonen,Kaapo Kahkonen
21294,FLA,ANA,Anthony Stolarz,John Gibson
21295,CBJ,VAN,Elvis Merzlikins,Casey DeSmith
21296,CAR,LA,Antti Raanta,David Rittich
21297,PIT,SEA,Tristan Jarry,Joey Daccord
21298,MIN,NYI,Marc-Andre Fleury,Ilya Sorokin
21299,MTL,COL,Jake Allen,Alexandar Georgiev
21300,STL,PHI,Joel Hofer,Carter Hart
21301,VGK,NSH,Logan Thompson,Juuse Saros
21302,NYR,SEA,Igor Shesterkin,Chris Driedger
21303,OTT,COL,Mads Sogaard,Justus Annunen
21304,WSH,ANA,Darcy Kuemper,John Gibson
21305,DAL,LA,Jake Oettinger,Cam Talbot
21306,WPG,NYI,Connor Hellebuyck,Ilya Sorokin
21307,CHI,SJ,Petr Mrazek,Mackenzie Blackwood
21308,CGY,ARI,Dan Vladar,Connor Ingram
21309,EDM,TOR,Stuart Skinner,Martin Jones
21310,NJ,MTL,Nico Daws,Sam Montembeault
21311,FLA,DET,Sergei Bobrovsky,Alex Lyon
21313,BOS,COL,Jeremy Swayman,Alexandar Georgiev
21314,OTT,MTL,Joonas Korpisalo,Cayden Primeau
21315,PHI,DAL,Samuel Ersson,Jake Oettinger
21316,TB,MIN,Andrei Vasilevskiy,Filip Gustavsson
21317,WSH,STL,Charlie Lindgren,Jordan Binnington
21318,CGY,TOR,Dan Vladar,Martin Jones
21319,EDM,SEA,Stuart Skinner,Joey Daccord
21320,LA,NSH,David Rittich,Juuse Saros
21321,VAN,ARI,Thatcher Demko,Connor Ingram
