goalie_name,event_id,opening_line,team
Joseph Woll,11946,26.5,TOR
Darcy Kuemper,11946,29.5,LA
Elvis Merzlikins,11947,26.5,CBJ
Lukas Dostal,11947,30.5,ANA
Anton Forsberg,11948,27.5,OTT
Ukko-Pekka Luukkonen,11948,29.5,BUF
Jonas Johansson,11949,30.5,TB
Cayden Primeau,11950,28.5,MTL
Jake Oettinger,11951,28.5,DAL
Alex Nedeljkovic,11951,28.5,PIT
Mackenzie Blackwood,11952,30.5,NJ
Anthony Stolarz,11952,26.5,TOR
Ilya Sorokin,11953,28.5,NYI
Alexandar Georgiev,11953,26.5,COL
Ville Husso,11954,25.5,DET
Joey Daccord,11954,26.5,SEA
Petr Mrazek,11955,29.5,CHI
Jeremy Swayman,11955,26.5,BOS
Jordan Binnington,11956,28.5,STL
Connor Hellebuyck,11956,24.5,WPG
Jack Campbell,11957,26.5,DET
Filip Gustavsson,11957,28.5,MIN
Thatcher Demko,11958,28.5,VAN
Juuse Saros,11958,26.5,NSH
Jacob Markstrom,11959,25.5,NJ
Igor Shesterkin,11959,28.5,NYR
Connor Ingram,11960,30.5,UTA
Pheonix Copley,11960,24.5,LA
Logan Thompson,11961,27.5,WSH
Akira Schmid,11962,25.5,VGK
Hunter Shepard,11962,29.5,WSH
Mackenzie Blackwood,11963,29.5,NJ
Jonas Johansson,11963,25.5,TB
Alexandar Georgiev,11964,28.5,COL
Tristan Jarry,11964,27.5,PIT
Sam Montembeault,11965,28.5,MTL
Elvis Merzlikins,11965,27.5,CBJ
John Gibson,11966,31.5,ANA
Linus Ullmark,11966,24.5,OTT
Connor Hellebuyck,11967,26.5,WPG
James Reimer,11967,27.5,ANA
Frederik Andersen,11968,24.5,CAR
Joey Daccord,11968,28.5,SEA
Ilya Sorokin,11969,28.5,NYI
Joonas Korpisalo,11969,27.5,BOS
Filip Gustavsson,11970,28.5,MIN
Carter Hart,11970,25.5,PHI
Scott Wedgewood,11971,28.5,NSH
Joseph Woll,11971,28.5,TOR
Stuart Skinner,11972,25.5,EDM
Jacob Markstrom,11973,23.5,NJ
Joel Hofer,11973,30.5,STL
Petr Mrazek,11974,29.5,CHI
Antti Raanta,11975,22.5,FA
Kaapo Kahkonen,11975,31.5,COL
Eric Comrie,11976,28.5,WPG
Vitek Vanecek,11976,27.5,SJ
Marc-Andre Fleury,11977,27.5,MIN
Darcy Kuemper,11977,26.5,LA
Karel Vejmelka,11978,27.5,UTA
Pheonix Copley,11978,24.5,LA
Thatcher Demko,11979,25.5,VAN
Jordan Binnington,11979,27.5,STL
Samuel Ersson,11980,25.5,PHI
Lukas Dostal,11980,30.5,ANA
Sergei Bobrovsky,11981,26.5,FLA
Ville Husso,11982,27.5,DET
Jeremy Swayman,11982,26.5,BOS
Jake Allen,11983,29.5,NJ
Laurent Brossoit,11983,25.5,CHI
Joonas Korpisalo,11984,29.5,BOS
Tristan Jarry,11984,27.5,PIT
Ilya Samsonov,11985,26.5,VGK
Juuse Saros,11985,28.5,NSH
Semyon Varlamov,11986,27.5,NYI
Igor Shesterkin,11987,25.5,NYR
Casey DeSmith,11987,27.5,DAL
