event_id,home_team,visitor_team
12259,NYI,CBJ
12260,NSH,TB
12261,WSH,DAL
12262,CHI,ANA
12263,ARI,PHI
12264,COL,WPG
12265,CGY,CAR
12266,VAN,MIN
12267,SEA,NJ
12268,FLA,PIT
12269,CBJ,STL
12270,EDM,MIN
12271,BOS,ARI
12272,DAL,VGK
12273,CGY,NJ
12274,DET,OTT
12275,WSH,NYR
12276,TOR,NSH
12277,BUF,MTL
12278,NYI,LA
12279,CHI,STL
12280,COL,PHI
12281,VAN,CAR
12282,SEA,TB
12283,CBJ,FLA
12284,EDM,NJ
12285,MTL,NSH
12286,CHI,WSH
12287,NYR,LA
12288,ANA,WPG
12289,SEA,MIN
12290,VGK,SJ
12291,BUF,ARI
12292,NYI,TOR
12293,DAL,DET
12294,COL,CGY
12295,PIT,ARI
12296,OTT,CAR
12297,NYR,TOR
12298,NSH,PHI
12299,STL,DET
12300,EDM,CHI
12301,VGK,CGY
12302,VAN,TB
12303,SEA,FLA
12304,SJ,WPG
12305,NJ,BOS
12306,MTL,PIT
12307,NYI,ANA
12308,COL,BUF
12309,LA,WPG
12310,TOR,CBJ
12311,PHI,WSH
12312,DET,CAR
12313,MIN,CGY
12314,STL,OTT
12315,EDM,TB
12316,VAN,FLA
12317,SEA,CHI
12318,NYR,ANA
12319,CAR,NSH
12320,NYI,BOS
12321,DAL,OTT
12322,ARI,SJ
12323,VGK,BUF
12324,MIN,VAN
12325,MTL,NYI
12326,WPG,COL
12327,PHI,DET
12328,TOR,PIT
12329,CBJ,NJ
12330,BOS,NYR
12331,NSH,WSH
12332,STL,DAL
12333,ARI,BUF
12334,SEA,LA
12335,CGY,TB
12336,EDM,FLA
12337,CHI,VAN
12338,CAR,WSH
12339,NJ,ANA
12340,VGK,OTT
12341,COL,SJ
12342,DET,ANA
12343,PIT,MIN
12344,WPG,MTL
12345,DAL,SEA
12346,CGY,FLA
12347,CAR,VGK
12348,NJ,PHI
12349,BUF,CBJ
12350,TB,STL
12351,BOS,MIN
12352,TOR,NYR
12353,NYI,EDM
12354,NSH,VAN
12355,CHI,COL
12356,ARI,OTT
12357,SJ,LA
12358,WSH,NYI
12359,WPG,DET
12360,LA,SEA
12361,CBJ,WSH
12362,TB,VGK
12363,PHI,NSH
12364,BUF,TOR
12365,FLA,STL
12366,PIT,CAR
12367,NJ,EDM
12368,MIN,MTL
12369,DAL,VAN
12370,COL,OTT
12371,ANA,CGY
12372,SJ,ARI
12373,DET,PHI
12374,NYR,EDM
12375,WPG,BOS
12376,CHI,MTL
12377,NSH,DAL
12378,FLA,VGK
12379,CBJ,TOR
12380,NJ,DET
12381,CAR,NYI
12382,WSH,TB
12383,OTT,PIT
12384,MIN,BOS
12385,NYR,BUF
12386,STL,CHI
12387,ANA,SEA
12388,COL,ARI
12389,LA,CGY
12390,VAN,SJ
12391,NJ,CBJ
12392,TOR,OTT
12393,NYR,WSH
12394,TB,FLA
12395,NYI,PIT
12396,BUF,BOS
12397,STL,DAL
12398,MIN,DET
12399,NSH,CAR
12400,CHI,WPG
12401,ARI,COL
12402,CGY,SEA
12403,ANA,VGK
12404,LA,SJ
12405,CAR,MTL
12406,VAN,PHI
12407,VGK,LA
12408,SJ,EDM
12409,FLA,NYR
12410,DET,NSH
12411,OTT,NJ
12412,CBJ,TOR
12413,NYI,WSH
12414,STL,COL
12415,DAL,CHI
12416,ANA,ARI
12417,SEA,PHI
12418,WPG,MIN
12419,BUF,CBJ
12420,WSH,NSH
12421,FLA,MTL
12422,TOR,CAR
12423,PIT,STL
12424,BOS,NJ
12425,TB,NYR
12426,LA,EDM
12427,MIN,WPG
12428,DET,BOS
12429,OTT,BUF
12430,PIT,NYI
12431,TB,MTL
12432,CGY,PHI
12433,ANA,EDM
12434,DAL,CHI
12435,COL,SJ
12437,NYR,CAR
12438,CBJ,BOS
12439,PIT,WSH
12440,DAL,MTL
12441,WPG,TB
12442,MIN,CGY
12443,NSH,CHI
12444,EDM,PHI
12445,COL,NYI
12446,ARI,FLA
12447,VAN,OTT
12448,SJ,DET
12449,LA,TOR
12450,WSH,NJ
12451,ANA,TOR
12452,MTL,BUF
12453,BOS,PIT
12454,PHI,CBJ
12455,NYR,CHI
12456,NSH,CGY
12457,STL,VAN
12458,MIN,TB
12459,DAL,COL
12460,ARI,NYI
12461,VGK,FLA
12462,SEA,OTT
12463,LA,DET
12464,SJ,WPG
12465,WSH,CAR
12466,NJ,CHI
12467,ANA,WPG
12468,PHI,CGY
12469,COL,FLA
12470,PIT,BUF
12471,CAR,STL
12472,BOS,TB
12473,SJ,TOR
12474,MTL,NYR
12475,NJ,VAN
12476,CBJ,MIN
12477,DAL,NSH
12478,EDM,OTT
12479,VGK,NYI
12480,WSH,LA
12481,CHI,CGY
12482,ARI,WPG
12483,ANA,DET
12484,PHI,PIT
12485,NYR,VAN
12486,MIN,DAL
12487,COL,BOS
12488,TOR,SJ
12489,TB,LA
12490,BUF,SEA
12491,NYI,VAN
12492,NSH,ANA
12493,WPG,CBJ
12494,STL,FLA
12495,CHI,EDM
12496,CGY,OTT
12497,ARI,BOS
12498,PHI,MTL
12499,DAL,MIN
12500,COL,VGK
12501,TB,NJ
12502,CAR,ANA
12503,PIT,VAN
12504,WSH,SEA
12505,NYI,TOR
12506,MTL,SJ
12507,DET,EDM
12508,BUF,OTT
12509,FLA,LA
12510,STL,NYR
12511,WPG,CHI
12512,ARI,CGY
12513,VGK,BOS
12514,DAL,NSH
12515,MIN,PHI
12516,WSH,NYR
12517,BUF,VAN
12518,OTT,SJ
12519,FLA,NJ
12520,TB,ANA
12521,MTL,EDM
12522,TOR,COL
12523,CBJ,SEA
12524,WPG,PHI
12525,DET,LA
12526,CAR,PIT
12527,NSH,NYI
12528,CHI,DAL
12529,STL,BOS
12530,MIN,ARI
12531,VGK,CGY
12532,NYR,WSH
12533,TOR,DET
12534,BOS,NJ
12535,BUF,SJ
12536,FLA,ANA
12537,CBJ,VAN
12538,CAR,LA
12539,PIT,SEA
12540,MIN,NYI
12541,MTL,COL
12542,STL,PHI
12543,VGK,NSH
12544,NYR,SEA
12545,WSH,ANA
12546,OTT,COL
12547,WPG,NYI
12548,DAL,LA
12549,CHI,SJ
12550,CGY,ARI
12551,EDM,TOR
12552,FLA,DET
12553,NJ,MTL
12555,PHI,DAL
12556,BOS,COL
12557,WSH,STL
12558,OTT,MTL
12559,TB,MIN
12560,EDM,SEA
12561,CGY,TOR
12562,LA,NSH
12563,VAN,ARI
12564,VGK,NYR
12565,CAR,DET
12566,CBJ,NJ
12567,FLA,MIN
12568,CHI,NYI
12569,BUF,TB
12570,PHI,COL
12571,ARI,NSH
12572,OTT,WPG
12573,BOS,MTL
12574,VAN,TOR
12575,NJ,DAL
12576,STL,WSH
12577,VGK,PIT
12578,SJ,ANA
12579,CGY,EDM
12580,LA,NYR
12581,PHI,OTT
12582,CAR,MIN
12583,DET,TB
12584,NYI,DAL
12585,ANA,NYR
12586,SEA,TOR
12587,BOS,WPG
12588,NJ,VGK
12589,NSH,FLA
12590,ARI,PIT
12591,VAN,CHI
12592,LA,SJ
12593,MTL,OTT
12594,DET,DAL
12595,PHI,TB
12596,NYI,VGK
12597,MIN,WSH
12598,CGY,STL
12599,EDM,CBJ
12600,ANA,BUF
12601,SJ,NYR
12602,TOR,WPG
12603,FLA,ARI
12604,BOS,CAR
12605,COL,WSH
12606,SEA,CHI
12607,VAN,STL
12608,LA,BUF
12609,DET,PHI
12610,TB,ARI
12611,OTT,BOS
12612,MTL,NYI
12613,CAR,NJ
12614,MIN,NSH
12615,DAL,ANA
12616,EDM,CHI
12617,CGY,CBJ
12618,NYR,VGK
12619,PIT,FLA
12620,COL,LA
12621,SEA,STL
12622,PHI,BOS
12623,DAL,WSH
12624,EDM,NSH
12625,SJ,BUF
12626,OTT,NYR
12627,PIT,MTL
12628,DET,VGK
12629,WPG,TOR
12630,CAR,ARI
12631,TB,NJ
12632,NYI,FLA
12633,MIN,ANA
12634,VAN,CBJ
12635,CGY,CHI
12636,STL,LA
12637,SEA,CBJ
12638,OTT,NSH
12639,STL,CBJ
12640,SJ,SEA
12641,DET,OTT
12642,NSH,LA
12643,ANA,SJ
12644,NYR,COL
12645,TOR,NYI
12646,WSH,MTL
12647,BOS,CGY
12648,PIT,WPG
12649,FLA,PHI
12650,BUF,DAL
12651,CAR,VAN
12652,NJ,COL
12653,VGK,EDM
12654,NYR,TB
12655,TOR,DAL
12656,CHI,MIN
12657,FLA,WSH
12658,PHI,WPG
12659,NJ,CGY
12660,BOS,VAN
12661,NYI,TB
12662,CAR,COL
12663,ARI,VGK
12664,MIN,PIT
12665,CHI,NYR
12666,ANA,EDM
12667,MTL,DAL
12668,DET,VAN
12669,BUF,STL
12670,NYI,CGY
12671,BOS,WSH
12672,FLA,COL
12673,CBJ,TB
12674,CAR,NJ
12675,PHI,SEA
12676,WPG,PIT
12677,OTT,TOR
12678,NSH,ARI
12679,LA,EDM
12680,MTL,STL
12681,WSH,VAN
12682,NJ,SEA
12683,NYR,CGY
12684,PHI,ARI
12685,VGK,MIN
12686,OTT,CBJ
12687,BOS,TB
12688,WSH,COL
12689,BUF,LA
12690,MTL,ANA
12691,TOR,STL
12692,NYI,SEA
12693,NSH,NJ
12694,DAL,CAR
12695,CHI,VAN
12696,EDM,DET
12697,PIT,FLA
12698,WPG,SJ
12699,ARI,MIN
12700,TB,COL
12701,TOR,PHI
12702,NYR,MTL
12703,NJ,LA
12704,BOS,SEA
12705,OTT,ANA
12706,BUF,FLA
12707,STL,EDM
12708,CHI,PIT
12709,CGY,SJ
12710,NSH,DAL
12711,VAN,DET
12712,ARI,CAR
12713,BOS,LA
12714,DAL,EDM
12715,CHI,OTT
12716,CGY,DET
12717,STL,NSH
12718,MIN,BUF
12719,TB,FLA
12720,TOR,ANA
12721,MTL,WSH
12722,NJ,PHI
12723,VAN,WPG
12724,VGK,CAR
12725,SJ,CBJ
12726,NYI,NYR
12727,PIT,LA
12728,COL,ARI
12729,BUF,ANA
12730,STL,TOR
12731,BOS,DAL
12732,MIN,VAN
12733,SEA,DET
12734,ARI,EDM
12735,CGY,WPG
12736,SJ,VGK
12737,TB,OTT
12738,CAR,CHI
12739,PIT,NYI
12740,FLA,OTT
12741,NYR,DAL
12742,WSH,NJ
12743,WPG,MIN
12744,COL,VAN
12745,VGK,NSH
12746,LA,CBJ
12747,MTL,BUF
12748,CHI,PHI
12749,ARI,TOR
12750,EDM,BOS
12751,ANA,CBJ
12752,NJ,NYR
12753,OTT,DAL
12754,PIT,MTL
12755,CAR,FLA
12756,DET,COL
12757,TB,WSH
12758,STL,NYI
12759,CGY,BOS
12760,SEA,VAN
12761,VGK,TOR
12762,LA,NSH
12763,CBJ,BUF
12764,CHI,WPG
12765,EDM,MIN
12766,DET,STL
12767,NYI,TB
12768,NJ,MTL
12769,PHI,NYR
12770,FLA,WSH
12771,CAR,DAL
12772,VAN,BOS
12773,COL,TOR
12774,OTT,VGK
12775,SJ,NSH
12776,SEA,MIN
12777,EDM,CGY
12778,LA,ANA
12779,NJ,TB
12780,PIT,PHI
12781,BUF,CAR
12782,CHI,DET
12783,WPG,ARI
12784,CBJ,NYR
12785,ANA,NSH
12786,WSH,OTT
12787,DAL,NYI
12788,EDM,LA
12789,SEA,BOS
12790,MTL,ARI
12791,TOR,VGK
12792,FLA,BUF
12793,PHI,TB
12794,DET,WSH
12795,NSH,OTT
12796,MIN,CAR
12797,WPG,STL
12798,CGY,LA
12799,COL,DAL
12800,VAN,PIT
12801,SJ,NJ
12802,NYR,CBJ
12803,EDM,STL
12804,FLA,MTL
12805,TB,BUF
12806,TOR,ARI
12807,BOS,VGK
12808,CBJ,CAR
12809,DET,NYI
12810,DAL,WPG
12811,NSH,MIN
12812,CHI,COL
12813,SEA,PIT
12814,VAN,LA
12815,SJ,ANA
12816,WSH,PHI
12817,OTT,ARI
12818,ANA,NJ
12819,CAR,WPG
12820,STL,MIN
12821,SEA,EDM
12822,NSH,COL
12823,BUF,VGK
12824,TOR,NYR
12825,PHI,OTT
12826,TB,MTL
12827,DET,FLA
12828,NYI,BOS
12829,DAL,SJ
12830,CHI,CBJ
12831,CGY,PIT
12832,WSH,ARI
12833,LA,NJ
12834,BUF,WPG
12835,MIN,SJ
12836,ANA,VAN
12837,EDM,PIT
12838,CBJ,VGK
12839,TOR,BOS
12840,NYR,FLA
12841,PHI,STL
12842,COL,CHI
12843,CGY,SEA
12844,PIT,CBJ
12845,NJ,FLA
12846,BOS,EDM
12847,NYI,STL
12848,WPG,SEA
12849,NSH,MTL
12850,ARI,CHI
12851,SJ,DAL
12852,LA,VAN
12853,TOR,BUF
12854,COL,DET
12855,ANA,OTT
12856,PIT,WSH
12857,BOS,TOR
12858,NJ,STL
12859,CAR,MTL
12860,FLA,PHI
12861,TB,CGY
12862,CBJ,EDM
12863,NSH,BUF
12864,ARI,MIN
12865,VGK,VAN
12866,SJ,NYI
12867,LA,OTT
12868,ARI,DET
12869,COL,MIN
12870,SEA,WPG
12871,ANA,DAL
12872,NJ,CAR
12873,CBJ,NSH
12874,BUF,EDM
12875,BOS,PIT
12876,FLA,CGY
12877,TB,PHI
12878,MTL,TOR
12879,WSH,CHI
12880,SJ,OTT
12881,NYR,STL
12882,VAN,WPG
12883,VGK,DET
12884,LA,DAL
12885,PIT,EDM
12886,MIN,NSH
12887,CAR,CGY
12888,CHI,ARI
12889,ANA,NYI
12890,BOS,STL
12891,NYR,NJ
12892,WPG,WSH
12893,LA,NYI
12894,OTT,PIT
12895,CAR,NYR
12896,BUF,DET
12897,MTL,CBJ
12898,PHI,SJ
12899,DAL,FLA
12900,MIN,ARI
12901,CHI,ANA
12902,CGY,COL
12903,SEA,VGK
12904,STL,LA
12905,WPG,NSH
12906,EDM,WSH
12907,VAN,COL
12908,PIT,SJ
12909,CBJ,OTT
12910,CAR,FLA
12911,TB,NYR
12912,PHI,TOR
12913,MTL,BOS
12914,DET,ARI
12915,BUF,NYI
12916,DAL,NJ
12917,MIN,ANA
12918,CGY,VGK
12919,SEA,WSH
12920,WPG,ANA
12921,CHI,LA
12922,NYI,OTT
12923,DET,BUF
12924,PIT,NYR
12925,ARI,NJ
12926,FLA,TB
12927,BOS,PHI
12928,CGY,MTL
12929,TOR,CAR
12930,CBJ,SJ
12931,DAL,LA
12932,STL,MIN
12933,VAN,WSH
12934,EDM,COL
12935,SEA,NSH
12936,NYR,NYI
12937,VGK,NJ
12938,PIT,DET
12939,OTT,CAR
12940,CBJ,WPG
12941,CHI,SJ
12942,STL,ANA
12943,CGY,WSH
12944,SEA,BUF
12945,BOS,OTT
12946,NYR,WPG
12947,NJ,PIT
12948,DET,CBJ
12949,PHI,TOR
12950,NYI,CAR
12951,STL,COL
12952,NSH,SJ
12953,EDM,MTL
12954,VAN,BUF
12955,ANA,MIN
12956,VGK,TB
12957,LA,CHI
12958,WSH,TOR
12959,DAL,ARI
12960,LA,MIN
12961,NJ,WPG
12962,OTT,STL
12963,BOS,NYR
12964,DET,NYI
12965,CAR,PHI
12966,FLA,NSH
12967,EDM,BUF
12968,VAN,MTL
12969,ANA,CHI
12970,VGK,SEA
12971,SJ,TB
12972,WSH,CAR
12973,DAL,PIT
12974,COL,CBJ
12975,ARI,SEA
12976,PHI,BOS
12977,NYI,WPG
12978,MIN,STL
12979,NSH,DET
12980,TOR,EDM
12981,NJ,OTT
12982,NYR,FLA
12983,VAN,CGY
12984,SJ,CHI
12985,LA,TB
12986,VGK,CBJ
12987,WSH,WPG
12988,COL,PIT
12989,NYI,NJ
12990,CAR,TOR
12991,OTT,EDM
12992,PHI,FLA
12993,ARI,DAL
12994,ANA,TB
12995,CGY,BUF
12996,SEA,MTL
12997,STL,VGK
12998,VAN,LA
12999,WSH,DET
13000,FLA,BOS
13001,NYR,PHI
13002,PIT,CAR
13003,TOR,NJ
13004,WPG,EDM
13005,NSH,VGK
13006,CHI,CGY
13007,COL,MTL
13008,SEA,ANA
13009,ARI,CBJ
13010,SJ,DAL
13011,BUF,OTT
13012,TB,BOS
13013,PIT,CBJ
13014,OTT,CHI
13015,FLA,NYI
13016,MTL,PHI
13017,TOR,WSH
13018,CAR,DET
13019,MIN,SJ
13020,STL,CGY
13021,WPG,VGK
13022,EDM,LA
13023,COL,NYR
13024,SEA,ANA
13025,ARI,NSH
13026,VAN,DAL
13027,BUF,NJ
13028,FLA,DET
13029,MIN,VGK
13030,EDM,ANA
13031,COL,NSH
13032,ARI,NYR
13033,MTL,CAR
13034,WPG,OTT
13035,PHI,CHI
13036,CBJ,PIT
13037,TB,NYI
13038,WSH,BOS
13039,BUF,TOR
13040,STL,SJ
13041,SEA,DAL
13042,CGY,LA
13043,VAN,ANA
13044,TB,DET
13045,PHI,NYI
13046,CBJ,COL
13047,NYR,PIT
13048,TOR,FLA
13049,STL,EDM
13050,WPG,LA
13051,SJ,SEA
13052,MTL,FLA
13053,BUF,WSH
13054,NJ,PIT
13055,NYI,CHI
13056,MIN,OTT
13057,NSH,BOS
13058,CGY,ANA
13059,VGK,VAN
13060,NYR,NJ
13061,TOR,TB
13062,DAL,EDM
13063,LA,SEA
13064,ARI,VAN
13065,CBJ,NYI
13066,MTL,TB
13067,CAR,BOS
13068,OTT,FLA
13069,WSH,PIT
13070,MIN,COL
13071,NSH,STL
13072,WPG,CGY
13073,SJ,LA
13074,DET,NYR
13075,CAR,WSH
13076,BUF,PHI
13077,EDM,COL
13078,ANA,SEA
13079,ARI,VGK
13080,PIT,TB
13081,BOS,FLA
13082,MIN,WPG
13083,CHI,DAL
13084,SJ,STL
13085,MTL,TOR
13086,OTT,NJ
13087,CBJ,PHI
13088,NYI,NSH
13089,LA,VAN
13090,CGY,EDM
13091,DET,BUF
13092,CHI,MIN
13093,CAR,CBJ
13094,WSH,OTT
13095,SJ,ARI
13096,NJ,NSH
13097,NYR,MTL
13098,ANA,STL
13099,COL,DAL
13100,TOR,PIT
13101,VAN,VGK
13102,DET,WSH
13103,FLA,OTT
13104,MTL,PHI
13105,NJ,TOR
13106,NYI,NYR
13107,TB,CBJ
13108,BOS,CAR
13109,DAL,BUF
13110,NSH,WPG
13111,COL,MIN
13112,SEA,ARI
13113,ANA,LA
13114,SJ,CGY
13115,STL,CHI
13116,EDM,VGK
13117,VAN,ARI
13118,TOR,NJ
13119,BUF,WSH
13120,NYR,PHI
13121,PIT,DET
13122,TB,OTT
13123,NYI,MTL
13124,FLA,CBJ
13125,DAL,WPG
13126,SEA,SJ
13127,LA,CGY
13128,STL,CAR
13129,CHI,NSH
13130,EDM,ARI
13131,ANA,CGY
13132,VGK,MIN
13133,NYR,NYI
13134,DAL,SEA
13135,COL,WPG
13136,FLA,BUF
13137,PHI,NJ
13138,WSH,TB
13139,TOR,DET
13140,OTT,MTL
13141,PIT,BOS
13142,NSH,CBJ
13143,EDM,VAN
13144,SJ,MIN
13145,LA,ANA
13146,STL,SEA
13147,VGK,COL
13148,CHI,CAR
13149,CGY,ARI
13150,DET,MTL
13151,PIT,NSH
13152,WSH,BOS
13153,NJ,NYI
13154,TB,BUF
13155,NYR,OTT
13156,EDM,SJ
13157,LA,MIN
13158,CBJ,CAR
13159,MTL,DET
13160,BOS,OTT
13161,PHI,WSH
13162,FLA,TOR
13163,WPG,SEA
