Column,slope,rValue,pValue,pValue_significant,r_>_0.0,r_>_0.2,r_>_0.4,r_>_0.6,pos or neg relationship
homeDefenderShots,0.30947349425718645,0.6164761403336478,3.545449237775942e-138,yes,yes,yes,yes,yes,positive
homeLongShots,0.3514976020204778,0.6248091637389126,5.724139109102712e-143,yes,yes,yes,yes,yes,positive
homeWRISTShots,0.5252627594455648,0.6821808943654833,2.4180164413683776e-180,yes,yes,yes,yes,yes,positive
homeSLAPShots,0.11101150977699355,0.394263739783092,4.867714707894076e-50,yes,yes,yes,no,no,positive
homeSNAPShots,0.16784359104768437,0.33505710941445077,8.743158778835498e-36,yes,yes,yes,no,no,positive
homeBACKHANDShots,0.08755610172791767,0.3568658262361166,1.0906594590808777e-40,yes,yes,yes,no,no,positive
homeTIPShots,0.06975734513170798,0.30107107450214055,6.793387389660401e-29,yes,yes,yes,no,no,positive
homeReboundShots,0.11328900898336498,0.4501523943917558,1.8760196734438023e-66,yes,yes,yes,yes,no,positive
