Column,slope,rValue,pValue,pValue_significant,r_>_0.0,r_>_0.2,r_>_0.4,r_>_0.6,pos or neg relationship
awayDefenderShots,0.32513427444744675,0.6404172928174419,2.3965592879557627e-152,yes,yes,yes,yes,yes,positive
awayLongShots,0.37804776756772185,0.6776255955014627,4.605304897439032e-177,yes,yes,yes,yes,yes,positive
awayWRISTShots,0.6105522900813909,0.7391255403851349,4.504674719987766e-227,yes,yes,yes,yes,yes,positive
awaySLAPShots,0.09306195389495232,0.34583659251683674,3.6848229135091596e-38,yes,yes,yes,no,no,positive
awaySNAPShots,0.1263431687564969,0.2691934376049539,3.2384455652633117e-23,yes,yes,yes,no,no,positive
awayBACKHANDShots,0.07423491301353184,0.3174149237741719,4.262595465876821e-32,yes,yes,yes,no,no,positive
awayTIPShots,0.05510079177349422,0.24922417250892484,5.0170888194560333e-20,yes,yes,yes,no,no,positive
awayReboundShots,0.12014129689739021,0.4675447748990256,3.1988227903923107e-72,yes,yes,yes,yes,no,positive
